,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
985,7,2015,6499,0,48072,0,30.0,55.4,1.2
986,12,2016,10100,0,64038,2,30.0,61.7,1.7
987,9,2016,8731,0,56001,2,20.0,67.3,1.7
988,11,2019,15800,0,1642,0,145.0,44.1,1.0
989,5,2016,5500,0,46000,0,20.0,60.1,1.0
990,5,2018,8690,0,1500,0,145.0,60.1,1.0
991,7,2014,4980,0,41500,0,30.0,57.6,1.2
992,9,2014,7600,0,38406,2,30.0,62.8,1.7
993,7,2017,8990,0,23434,0,145.0,55.4,1.2
994,5,2018,7500,0,15927,0,145.0,60.1,1.0
995,12,2019,16000,0,6320,0,145.0,35.3,1.6
996,15,2019,34000,3,5931,2,145.0,39.2,2.2
997,12,2020,23500,0,4092,2,145.0,48.7,1.6
998,8,2015,9495,2,9767,0,160.0,43.5,1.6
999,12,2016,12600,0,35474,2,30.0,61.7,1.7
1001,8,2016,8590,0,17611,0,125.0,50.4,1.4
1003,10,2018,13510,3,11196,2,145.0,68.9,1.6
1004,7,2017,7291,0,35832,0,145.0,55.4,1.2
1005,7,2013,4121,0,67689,0,125.0,52.3,1.4
1006,12,2017,13056,0,62308,2,125.0,58.9,2.0
1007,5,2016,5191,0,28224,0,20.0,61.4,1.0
1008,14,2017,15499,2,9400,3,135.0,78.5,1.6
1009,10,2013,5995,0,59382,0,160.0,46.0,1.4
1010,5,2017,6390,0,35000,0,145.0,57.7,1.2
1011,11,2018,14290,0,6733,0,145.0,52.3,1.0
1012,11,2017,11990,0,21858,0,145.0,52.3,1.0
1013,7,2017,7799,0,20000,0,30.0,55.4,1.2
1014,7,2017,7995,0,2812,0,30.0,58.9,1.2
1016,14,2019,17998,2,10617,3,135.0,78.5,1.6
1017,5,2017,7600,0,32412,0,145.0,60.1,1.0
1018,5,2018,8490,0,16380,0,145.0,60.1,1.0
1019,5,2018,8490,0,19995,0,145.0,60.1,1.0
1020,12,2019,21750,2,11057,2,145.0,47.1,1.6
1021,9,2017,10465,0,34328,2,145.0,67.3,1.7
1022,13,2019,19965,2,12450,2,145.0,28.0,2.5
1023,5,2018,7465,0,19931,0,150.0,60.1,1.0
1024,12,2017,14498,0,24598,2,125.0,58.9,2.0
1026,11,2019,13480,0,6964,0,150.0,44.1,1.0
1027,7,2019,9795,0,6979,0,145.0,46.3,1.2
1028,15,2018,29000,3,19935,2,145.0,39.2,2.2
1029,10,2017,8995,0,23786,0,145.0,48.7,1.4
1030,9,2017,9999,0,38472,2,145.0,65.7,1.7
1031,7,2013,4495,0,33000,0,30.0,57.6,1.2
1032,5,2017,6089,0,52539,0,30.0,57.7,1.2
1033,8,2017,9200,0,17899,0,150.0,50.4,1.4
1034,6,2015,8090,0,64708,2,150.0,53.3,1.7
1035,15,2019,32995,3,1642,2,150.0,39.8,2.2
1036,12,2017,12990,0,19769,0,150.0,44.8,1.6
1037,13,2018,16790,2,21600,2,150.0,33.6,2.5
1038,7,2016,7995,0,17124,0,30.0,58.9,1.2
1039,5,2016,6995,0,7418,0,20.0,60.1,1.0
1040,12,2019,21000,2,14690,2,145.0,47.1,1.6
1041,10,2020,26995,0,1000,0,145.0,34.0,2.0
1042,7,2013,5400,0,24003,0,125.0,54.3,1.4
1043,8,2017,9500,0,11567,0,145.0,50.4,1.4
1044,7,2016,6400,0,45770,0,20.0,60.1,1.2
1045,8,2013,6995,2,50150,0,200.0,43.6,1.6
1046,14,2019,21800,3,2439,3,135.0,62.8,1.6
1047,7,2016,7995,0,23500,0,20.0,58.9,1.0
1048,5,2014,4998,0,31592,0,20.0,60.1,1.0
1050,5,2020,13995,0,1500,0,145.0,53.3,1.0
1051,11,2020,25195,2,1500,3,135.0,52.3,1.6
1052,5,2017,8995,0,14620,0,145.0,57.7,1.2
1053,11,2018,15000,0,7557,0,150.0,52.3,1.0
1054,11,2018,15000,0,10434,0,150.0,44.1,1.0
1055,6,2015,7450,0,63917,2,150.0,53.3,1.7
1056,5,2016,5995,0,29203,0,20.0,60.1,1.0
1057,14,2018,15490,3,30381,3,135.0,78.5,1.6
1058,5,2019,8395,0,16108,0,145.0,57.6,1.2
1059,15,2016,18990,3,14157,2,235.0,42.2,2.2
1060,12,2017,13490,0,21692,0,160.0,44.8,1.6
1061,5,2020,11990,0,3213,0,145.0,56.5,1.0
1062,5,2017,7000,0,23329,0,145.0,60.1,1.0
1063,12,2017,14000,0,34545,2,30.0,61.7,1.7
1064,5,2018,8490,0,14804,0,145.0,60.1,1.0
1065,5,2017,7295,0,32000,0,150.0,57.7,1.2
1066,9,2016,8995,0,48687,2,30.0,65.7,1.7
1067,8,2015,6495,0,23989,0,125.0,50.4,1.4
1068,12,2017,13960,0,33585,2,145.0,54.3,2.0
1069,15,2016,20495,3,28000,2,240.0,42.8,2.2
1070,7,2015,7995,0,29658,0,30.0,55.4,1.2
1071,11,2018,14680,0,7400,0,145.0,44.1,1.0
1072,11,2018,13647,0,19036,0,145.0,52.3,1.0
1073,5,2017,8991,3,15917,0,145.0,47.9,1.2
1074,12,2017,14550,3,12322,2,125.0,57.6,1.7
1075,5,2016,5722,0,44965,0,30.0,57.6,1.2
1076,8,2017,9490,0,21354,0,145.0,50.4,1.4
1077,5,2019,8990,0,2898,0,145.0,49.6,1.0
1078,14,2018,17690,2,15014,3,135.0,78.5,1.6
1079,5,2017,6660,0,18732,0,145.0,60.1,1.0
