,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
1260,14,2019,22680,2,3704,3,135.0,78.5,1.6
1261,5,2016,6480,0,20295,0,30.0,57.6,1.2
1262,12,2019,25499,2,2003,3,145.0,50.4,1.6
1263,12,2017,12990,0,36357,2,30.0,61.7,1.7
1264,5,2020,13000,0,500,0,145.0,53.3,1.0
1265,10,2014,6800,0,39260,0,160.0,44.1,1.6
1266,15,2020,35500,3,1500,2,145.0,39.2,2.2
1267,5,2017,7000,0,8962,0,145.0,60.1,1.0
1268,12,2017,16990,0,7608,0,145.0,38.7,1.6
1269,12,2016,14990,2,21656,2,200.0,47.1,2.0
1270,14,2019,20500,3,1750,3,135.0,62.8,1.6
1271,14,2020,22000,2,1500,3,135.0,62.8,1.6
1272,5,2015,6490,0,14787,0,30.0,57.6,1.2
1273,14,2019,16750,2,10547,3,135.0,78.5,1.6
1274,9,2016,10610,0,45142,2,30.0,65.7,1.7
1275,6,2014,7750,0,39472,0,200.0,41.5,1.6
1276,5,2017,7380,0,26628,0,145.0,57.7,1.2
1278,5,2017,6400,0,30500,0,145.0,57.7,1.2
1279,13,2018,16500,2,36862,2,145.0,28.0,2.5
1280,15,2015,15000,0,50715,2,200.0,46.3,2.2
1281,5,2017,7500,0,8652,0,20.0,60.1,1.0
1282,11,2020,23000,2,1000,3,135.0,52.3,1.6
1284,12,2016,11998,0,31022,2,30.0,61.7,1.7
1285,10,2017,10299,3,30335,2,145.0,68.9,1.6
1286,12,2019,23990,3,8125,2,150.0,46.3,1.6
1287,5,2014,5930,0,12590,0,30.0,57.6,1.2
1288,6,2014,9295,0,31172,2,145.0,53.3,1.7
1289,7,2016,9590,0,20219,0,30.0,58.9,1.0
1290,12,2015,14250,0,47085,2,145.0,54.3,2.0
1291,12,2017,15750,3,19012,2,145.0,57.6,1.7
1292,5,2013,4965,2,46211,0,125.0,51.4,1.2
1293,10,2018,9699,0,23064,0,145.0,56.5,1.0
1294,5,2014,6630,0,8896,0,20.0,60.1,1.0
1295,5,2016,7790,0,9862,0,30.0,57.6,1.2
1296,5,2016,5990,0,16985,0,20.0,60.1,1.0
1297,8,2018,10990,2,17167,0,145.0,43.5,1.6
1298,7,2017,7990,0,19952,0,150.0,58.9,1.2
1299,5,2014,6490,0,19874,0,30.0,57.6,1.2
1300,5,2016,7490,0,12965,0,20.0,60.1,1.0
1301,7,2016,8990,2,20458,0,165.0,42.2,1.4
1302,15,2019,31680,3,2251,2,145.0,40.9,2.2
1303,12,2017,11998,0,27717,2,150.0,61.7,1.7
1304,9,2016,11598,3,29334,2,125.0,56.5,1.7
1305,7,2016,7495,0,17454,0,30.0,56.5,1.2
1306,14,2018,18298,2,9151,3,135.0,78.5,1.6
1307,12,2017,14998,0,25123,2,145.0,54.3,2.0
1308,14,2018,18498,2,7999,3,135.0,78.5,1.6
1309,12,2017,12998,0,15999,2,145.0,61.7,1.7
1310,12,2017,15795,0,23295,2,200.0,47.9,2.0
1311,12,2017,15980,0,22117,2,30.0,61.7,1.7
1312,5,2013,3995,0,58000,0,20.0,61.4,1.2
1313,6,2014,8498,0,35452,2,165.0,50.4,1.7
1314,8,2016,8495,0,2542,0,125.0,50.4,1.4
1315,5,2015,5950,0,26280,0,30.0,57.6,1.2
1316,8,2016,9350,2,31000,0,165.0,43.5,1.6
1317,5,2014,5700,0,37973,0,30.0,57.6,1.2
1318,12,2017,13998,3,30335,2,150.0,57.6,1.7
1319,12,2017,13998,0,26976,2,145.0,61.7,1.7
1320,14,2019,15998,2,11849,3,140.0,78.5,1.6
1321,12,2017,14998,3,25597,2,125.0,57.6,1.7
1322,12,2018,13998,0,19377,0,150.0,44.8,1.6
1323,12,2019,15498,0,16553,0,145.0,34.9,1.6
1324,9,2015,9498,0,33036,2,20.0,67.3,1.7
1325,12,2017,15298,3,14737,2,125.0,57.6,1.7
1327,5,2017,7798,0,19812,0,145.0,60.1,1.0
1328,12,2016,10698,0,36567,2,30.0,61.7,1.7
1329,12,2017,15998,3,6436,2,150.0,57.6,1.7
1330,12,2018,13998,0,29315,0,145.0,44.8,1.6
1331,10,2019,17990,0,1771,0,145.0,45.6,1.0
1332,7,2020,12991,0,2637,0,145.0,46.3,1.2
1333,5,2020,11491,0,101,0,145.0,56.5,1.0
1334,5,2017,8120,0,34407,0,145.0,57.7,1.2
1335,12,2018,13998,0,16624,0,150.0,44.8,1.6
1336,7,2016,8350,0,28387,0,30.0,56.5,1.2
1337,5,2015,6620,0,20905,0,30.0,57.6,1.2
1339,6,2015,9891,0,33910,0,200.0,41.5,1.6
1340,5,2017,6990,0,18732,0,145.0,60.1,1.0
1341,5,2018,7690,0,8623,0,145.0,60.1,1.0
1342,12,2017,13480,0,20607,2,30.0,61.7,1.7
1343,5,2019,7990,0,16330,0,145.0,60.1,1.0
1344,10,2016,9600,0,20394,0,145.0,48.7,1.4
1345,11,2018,14590,0,7473,0,145.0,52.3,1.0
1346,5,2020,11490,0,101,0,145.0,56.5,1.0
1347,12,2020,20991,3,450,0,145.0,36.2,1.6
1348,11,2020,16991,0,2622,0,145.0,44.1,1.0
1349,14,2019,22720,2,8492,3,135.0,78.5,1.6
1350,10,2019,14990,0,988,0,145.0,45.6,1.0
1351,12,2017,12998,3,41418,2,125.0,57.6,1.7
1352,12,2017,11998,0,35731,0,150.0,44.8,1.6
1354,12,2017,14698,3,31960,2,150.0,57.6,1.7
1355,5,2015,6500,0,44444,0,30.0,57.6,1.2
1356,6,2015,8595,0,29865,2,145.0,53.3,1.7
1357,5,2015,7595,3,10457,0,145.0,47.9,1.2
1358,13,2018,14790,0,39101,2,145.0,37.7,2.5
1359,11,2018,14291,0,19012,0,145.0,44.1,1.0
1360,12,2019,21990,2,3168,3,145.0,50.4,1.6
1361,12,2018,12698,0,29268,2,150.0,61.7,1.7
1362,12,2019,21490,0,110,0,145.0,34.9,1.6
1363,14,2018,18310,2,6259,3,135.0,78.5,1.6
1364,12,2018,16990,3,32482,2,145.0,57.7,1.7
1365,12,2018,13491,0,7719,0,145.0,44.8,1.6
1366,7,2016,7970,0,11,0,30.0,55.4,1.2
1367,10,2017,9990,0,41477,2,145.0,74.3,1.6
1368,11,2018,15990,0,9106,0,145.0,44.1,1.0
1369,7,2019,11891,0,1583,0,145.0,46.3,1.2
1370,7,2019,11790,0,7097,0,145.0,46.3,1.2
1371,11,2019,13491,0,9283,0,150.0,44.1,1.0
1373,7,2019,11430,0,3279,0,145.0,46.3,1.2
1374,7,2018,9991,0,8804,0,145.0,58.9,1.2
1375,12,2018,17570,0,16103,0,145.0,38.7,1.6
1376,12,2017,14860,0,20820,2,145.0,54.3,2.0
1377,7,2018,10249,0,19997,0,145.0,46.3,1.2
1378,12,2017,15040,3,12356,2,125.0,57.6,1.7
1379,11,2019,14960,0,150,0,145.0,44.1,1.0
1380,7,2017,8480,0,10402,0,145.0,58.9,1.2
1381,7,2017,9080,0,22851,0,145.0,55.4,1.2
1382,7,2017,8260,0,14225,0,145.0,58.9,1.2
1383,10,2019,24995,0,500,0,145.0,34.0,2.0
1384,10,2017,9521,0,9866,0,145.0,57.7,1.0
1385,12,2018,15815,2,27855,2,145.0,47.1,2.0
1386,12,2018,14099,3,32802,2,145.0,57.6,1.7
1387,13,2018,15794,2,35460,2,145.0,28.0,2.5
1388,7,2016,9295,0,28106,0,30.0,56.5,1.2
1389,15,2014,14995,3,48900,2,260.0,41.5,2.2
1392,7,2014,5570,0,36642,0,30.0,57.6,1.2
1393,5,2019,9500,0,1000,0,145.0,49.6,1.0
1394,9,2017,11388,0,26500,2,150.0,65.7,1.7
1395,12,2017,14292,0,31382,2,145.0,61.7,1.7
1396,12,2016,11780,3,66899,2,125.0,57.6,1.7
1397,12,2016,10299,0,45000,2,30.0,61.7,1.7
1398,12,2017,12498,0,18145,2,30.0,61.7,1.7
1399,10,2014,6798,0,42332,0,150.0,47.1,1.4
1400,12,2017,10698,0,50408,2,30.0,61.7,1.7
1401,12,2017,14470,3,32939,2,125.0,57.6,1.7
1402,12,2017,18500,3,17378,2,145.0,57.6,1.7
1403,5,2017,6560,0,15628,0,20.0,60.1,1.0
1404,12,2017,14498,0,19674,2,30.0,61.7,1.7
1405,7,2013,4995,0,41232,0,30.0,57.6,1.2
1406,5,2016,5992,0,13971,0,20.0,60.1,1.0
1407,5,2017,6820,0,28585,0,145.0,60.1,1.0
1408,15,2014,12891,3,49216,2,260.0,41.5,2.2
1409,13,2018,15749,2,32420,2,145.0,28.0,2.5
1410,13,2018,15949,0,31007,2,145.0,31.7,2.5
1411,5,2014,4887,0,37875,0,20.0,60.1,1.0
1412,7,2015,6995,0,33925,0,125.0,51.4,1.4
1413,12,2017,15495,3,20996,2,125.0,57.6,1.7
1414,5,2017,6602,0,32107,0,145.0,57.7,1.2
1415,9,2015,9495,3,61919,2,125.0,56.5,1.7
1416,9,2015,8995,0,43492,2,30.0,62.8,1.7
1417,10,2017,10498,0,29304,2,145.0,74.3,1.6
1418,12,2016,10498,0,31604,0,165.0,44.8,1.6
1419,13,2018,15995,2,33244,2,145.0,28.0,2.5
1420,9,2016,10995,0,14335,2,20.0,67.3,1.7
1421,12,2018,15495,0,5942,0,150.0,38.7,1.6
1422,10,2019,21990,0,4700,0,150.0,34.0,2.0
1423,5,2013,3991,0,69814,0,20.0,61.4,1.2
1425,5,2017,7040,0,9647,0,145.0,60.1,1.0
1426,15,2019,33900,3,1173,2,145.0,39.2,2.2
1428,11,2018,12591,0,22684,0,150.0,52.3,1.0
1429,12,2019,22470,0,150,0,145.0,34.9,1.6
1430,11,2018,13470,0,7837,0,145.0,44.1,1.0
1431,5,2015,5891,0,23234,0,20.0,60.1,1.0
1432,15,2018,19483,3,33911,2,145.0,42.8,2.2
1433,13,2018,14000,0,38560,2,145.0,37.7,2.5
1434,15,2018,18000,2,35915,2,145.0,42.8,2.2
1435,13,2018,16000,2,33389,2,145.0,31.7,2.5
1436,13,2018,14794,0,38093,2,145.0,37.7,2.5
1437,5,2019,9990,0,2938,0,145.0,49.6,1.0
1438,7,2017,7490,0,35937,0,30.0,58.9,1.2
1440,5,2016,6110,0,28386,0,20.0,61.4,1.0
1442,15,2016,17690,3,48155,2,235.0,42.2,2.2
1443,7,2016,7760,0,20934,0,30.0,56.5,1.2
1444,11,2019,13990,0,9130,0,145.0,44.1,1.0
1445,10,2019,14640,0,3961,0,145.0,41.5,1.4
1446,10,2019,14990,0,1247,0,145.0,45.6,1.0
1447,5,2017,7740,0,18036,0,145.0,57.7,1.2
1448,7,2019,11990,0,1027,0,145.0,46.3,1.2
1449,12,2019,21490,0,199,0,145.0,34.9,1.6
1450,12,2016,10870,0,51846,2,30.0,61.7,1.7
1451,12,2016,10500,0,48868,2,30.0,61.7,1.7
1452,7,2014,5498,0,36818,0,30.0,57.6,1.2
1453,12,2019,24000,3,10003,3,150.0,50.4,1.6
1454,12,2018,18000,0,9424,0,150.0,34.9,1.6
1455,12,2018,16995,0,18856,0,150.0,38.7,1.6
1456,13,2018,15995,2,32383,2,145.0,28.0,2.5
1457,14,2018,14698,2,24905,3,140.0,78.5,1.6
1458,12,2016,13798,3,3778,2,125.0,57.6,1.7
1459,5,2019,8298,0,18101,0,150.0,60.1,1.0
1460,12,2017,12798,0,38319,2,150.0,61.7,1.7
1461,14,2018,16498,2,18478,3,140.0,78.5,1.6
1462,7,2014,4498,0,49854,0,30.0,57.6,1.2
1463,7,2017,10498,2,6264,0,165.0,45.6,1.4
1464,5,2018,7998,0,14830,0,145.0,60.1,1.0
1465,10,2018,9498,0,12223,0,145.0,57.7,1.0
1466,10,2018,9498,0,14319,0,145.0,57.7,1.0
1468,12,2018,12698,0,21642,2,145.0,61.7,1.7
1469,12,2017,15498,3,18062,2,145.0,57.6,1.7
1470,6,2014,6881,0,82203,2,145.0,53.3,1.7
1472,12,2017,11360,0,41103,0,160.0,44.8,1.6
1473,7,2017,8000,0,24533,0,145.0,58.9,1.2
1474,5,2017,7400,0,24879,0,145.0,60.1,1.0
1475,5,2016,6000,0,37721,0,20.0,60.1,1.0
1476,7,2016,9450,0,15053,0,30.0,55.4,1.2
1477,12,2017,15490,0,22798,2,30.0,61.7,1.7
1478,5,2016,7000,0,6603,0,20.0,60.1,1.0
1479,11,2018,14750,0,8847,0,145.0,44.1,1.0
1480,12,2016,14500,3,14996,2,125.0,57.6,1.7
1481,8,2016,8995,0,8648,0,125.0,50.4,1.4
1482,5,2017,6650,0,13997,0,145.0,60.1,1.0
1483,7,2015,6650,0,29861,0,30.0,55.4,1.2
1484,11,2019,14490,0,4131,0,145.0,44.1,1.0
1485,10,2015,9250,0,25686,2,20.0,72.4,1.6
1486,7,2016,7990,0,22654,0,30.0,55.4,1.2
1487,5,2016,7595,0,17166,0,30.0,57.6,1.2
1488,12,2017,14990,0,26697,2,145.0,61.4,1.7
1489,12,2017,10998,0,36571,2,30.0,61.7,1.7
1490,9,2015,10498,3,36831,2,125.0,56.5,1.7
1491,14,2018,16498,2,23252,3,135.0,78.5,1.6
1492,12,2017,12298,0,25661,2,30.0,61.7,1.7
1493,13,2019,20498,0,6483,2,145.0,31.7,2.5
1494,12,2017,17650,0,36432,2,150.0,54.3,2.0
1495,12,2019,19500,0,6013,0,150.0,34.9,1.6
1496,12,2019,16500,0,14147,0,150.0,34.9,1.6
1497,12,2017,15500,0,23546,2,30.0,61.7,1.7
1498,5,2014,6000,0,40650,0,30.0,57.6,1.2
1499,7,2017,8495,0,27409,0,30.0,58.9,1.2
1500,5,2018,9000,0,10268,0,150.0,57.7,1.2
1501,12,2016,12700,0,45910,2,200.0,47.9,2.0
1502,10,2018,11000,0,33762,0,150.0,56.5,1.0
1503,5,2016,8250,3,21344,0,145.0,47.9,1.2
1504,10,2015,8000,0,37750,0,145.0,47.1,1.4
1505,8,2017,9500,0,12536,2,145.0,64.2,1.6
1506,7,2016,8300,0,14646,0,30.0,58.9,1.2
1507,11,2019,15500,0,3933,0,145.0,44.1,1.0
1508,5,2014,6000,0,21359,0,30.0,57.6,1.2
1509,12,2017,15200,3,7525,2,145.0,57.6,1.7
1510,12,2016,13990,0,18688,2,30.0,61.7,1.7
1511,10,2018,11671,0,21802,0,150.0,52.3,1.4
1512,14,2018,18498,2,3138,3,135.0,78.5,1.6
1513,8,2017,9998,2,8314,0,160.0,43.5,1.6
1514,14,2019,18998,2,2526,3,135.0,78.5,1.6
1516,5,2017,6750,0,29673,0,145.0,57.7,1.2
1517,15,2016,18680,3,34812,2,235.0,42.2,2.2
1518,11,2018,12395,0,28433,0,145.0,52.3,1.0
1519,5,2017,8250,0,7546,0,145.0,57.7,1.2
1520,7,2016,7750,0,27497,0,30.0,55.4,1.2
1521,5,2015,6750,0,18050,0,20.0,61.4,1.0
1522,15,2015,19000,2,28700,2,260.0,42.2,2.2
1523,7,2018,9500,0,18000,0,150.0,62.8,1.0
1524,8,2015,8500,2,24610,0,205.0,43.6,1.6
1525,7,2018,10000,0,13976,0,150.0,58.9,1.2
1526,10,2017,11500,0,14440,0,150.0,52.3,1.4
1527,5,2017,7500,0,16483,0,30.0,57.7,1.2
1528,7,2019,11000,0,12120,0,150.0,46.3,1.2
1529,15,2016,19000,3,32223,2,240.0,42.2,2.2
1531,7,2015,6500,0,40700,0,30.0,55.4,1.2
1532,7,2014,5500,0,31946,0,30.0,57.6,1.2
1533,5,2016,8000,3,21473,0,150.0,47.9,1.2
1534,14,2017,14500,2,43912,3,135.0,78.5,1.6
1535,11,2018,11750,0,20555,0,145.0,52.3,1.0
1536,12,2017,16500,0,12543,0,145.0,38.7,1.6
1537,12,2016,14000,0,25237,2,30.0,61.7,1.7
1538,5,2013,3750,0,45615,0,20.0,61.4,1.2
1539,11,2018,13500,0,9884,0,150.0,44.1,1.0
1540,5,2017,11000,3,12536,0,145.0,47.9,1.2
1541,7,2018,10250,0,17624,0,145.0,65.7,1.0
1542,7,2015,6500,0,47900,0,30.0,55.4,1.2
1543,5,2016,7280,0,16205,0,30.0,57.6,1.2
1544,15,2019,32380,3,9739,2,150.0,39.2,2.2
1545,14,2017,14790,2,16001,3,140.0,78.5,1.6
1546,11,2019,14974,0,6811,0,150.0,44.1,1.0
1547,12,2016,13480,0,36510,2,125.0,58.9,2.0
1548,12,2019,23880,3,9733,0,150.0,35.8,1.6
1549,7,2016,7290,0,27458,0,30.0,56.5,1.2
1550,12,2016,11750,0,38000,2,30.0,61.7,1.7
1551,10,2018,11750,0,16337,2,150.0,74.3,1.6
1552,5,2020,12000,0,484,0,150.0,55.4,1.2
1553,11,2018,12500,0,15459,0,150.0,52.3,1.0
1554,5,2019,9000,0,9023,0,150.0,57.6,1.2
1555,8,2017,10500,2,7941,0,165.0,43.5,1.6
1556,5,2020,13290,0,1458,0,150.0,53.3,1.0
1557,14,2018,14000,2,37439,3,135.0,78.5,1.6
1558,5,2019,9280,0,2238,0,145.0,49.6,1.0
1559,5,2017,7500,0,3379,0,20.0,60.1,1.0
1560,15,2019,28995,2,14778,2,145.0,39.8,2.2
1561,11,2018,13500,0,9884,0,145.0,44.1,1.0
1563,11,2018,15000,0,11421,0,145.0,44.1,1.0
1564,12,2016,14995,0,25233,2,30.0,61.7,1.7
1565,7,2019,11480,0,2128,0,145.0,47.9,1.0
1566,10,2017,9690,0,15824,0,145.0,48.7,1.4
1567,5,2017,8490,3,24890,0,145.0,47.9,1.2
1568,15,2019,26290,2,4566,2,145.0,42.2,2.2
1569,11,2019,23290,2,1486,3,135.0,52.3,1.6
1570,5,2016,6500,0,16309,0,30.0,57.6,1.2
1571,7,2019,10500,0,10458,0,145.0,46.3,1.2
1572,12,2019,23490,2,3393,2,145.0,47.1,1.6
1573,5,2019,9290,0,1824,0,145.0,49.6,1.0
1574,13,2017,14000,0,34492,2,145.0,37.7,2.5
1575,5,2019,9000,0,9995,0,145.0,57.6,1.2
1576,5,2019,8000,0,9367,0,145.0,60.1,1.0
1577,13,2019,23995,0,1200,2,145.0,31.7,2.5
1578,13,2018,14500,2,35845,2,145.0,33.6,2.5
1579,15,2018,18000,0,34000,2,145.0,47.1,2.2
1580,7,2019,10000,0,14188,0,145.0,46.3,1.2
1581,13,2018,16990,2,35757,2,145.0,28.0,2.5
1582,5,2017,7000,0,31458,0,145.0,57.7,1.2
1583,15,2018,19000,0,30229,2,145.0,47.1,2.2
1584,7,2015,6790,0,48458,0,30.0,55.4,1.2
1585,10,2019,17590,0,4952,0,145.0,42.2,1.4
1586,12,2019,26000,2,3469,3,145.0,40.4,2.0
1587,12,2016,15990,2,27458,2,200.0,46.3,2.0
1588,12,2019,21990,0,2765,0,145.0,34.9,1.6
1589,12,2017,14990,2,36459,2,150.0,46.3,2.0
1590,7,2018,11390,0,4856,0,150.0,47.9,1.0
1592,5,2018,7500,0,7785,0,145.0,60.1,1.0
1593,5,2014,5000,0,43482,0,20.0,60.1,1.0
1594,5,2018,7250,0,24040,0,145.0,57.7,1.2
1595,10,2019,23000,0,1790,0,150.0,34.0,2.0
1596,12,2017,16000,0,17177,2,30.0,61.7,1.7
1597,12,2016,13250,2,40601,2,200.0,47.1,2.0
1598,15,2017,18500,0,39608,2,200.0,47.1,2.2
1599,10,2018,11250,0,12364,2,145.0,74.3,1.6
1600,14,2018,16000,2,27742,3,135.0,78.5,1.6
1601,7,2016,6980,0,34599,0,30.0,55.4,1.2
1602,12,2020,23980,3,1764,3,145.0,50.4,1.6
1603,10,2020,19890,3,2083,0,145.0,44.1,1.4
1604,15,2020,35980,3,2196,2,145.0,39.2,2.2
1605,5,2017,7995,0,25000,0,145.0,60.1,1.0
1606,5,2016,6995,0,11500,0,20.0,61.4,1.0
1607,5,2015,6995,0,12500,0,30.0,57.6,1.2
1608,5,2016,8495,2,16500,0,145.0,47.9,1.2
1609,11,2018,16995,0,16500,0,145.0,52.3,1.0
1610,8,2015,7995,2,37500,0,200.0,43.6,1.6
1611,7,2016,8495,0,27000,0,30.0,58.9,1.2
1612,15,2019,36495,2,5000,2,145.0,39.8,2.2
1613,5,2017,7000,0,30367,0,145.0,57.7,1.2
1614,13,2018,16990,2,32730,2,145.0,28.0,2.5
1615,12,2017,16290,0,11333,2,145.0,61.4,1.7
1616,5,2017,6290,0,19116,0,145.0,60.1,1.0
1617,14,2019,22000,2,2544,3,135.0,62.8,1.6
1618,12,2016,12495,0,53753,2,30.0,61.7,1.7
1619,5,2017,6498,0,42057,0,145.0,70.6,1.0
1620,12,2016,11498,0,21240,2,30.0,61.7,1.7
1621,5,2017,7995,0,19750,0,145.0,57.7,1.2
1622,5,2020,11980,0,793,0,145.0,56.5,1.0
1623,5,2020,12980,0,539,0,145.0,55.4,1.2
1624,15,2017,19770,3,35406,2,235.0,42.8,2.2
1625,15,2019,32280,3,2251,2,145.0,40.9,2.2
1626,5,2017,10280,3,8970,0,145.0,47.9,1.2
1627,5,2017,7495,0,14500,0,145.0,60.1,1.0
1628,8,2016,8995,0,51500,2,30.0,64.2,1.6
1629,12,2016,17995,2,40500,2,235.0,43.5,2.0
1630,5,2015,5995,0,16000,0,30.0,57.6,1.2
1631,11,2019,19995,0,50,0,145.0,44.1,1.0
1632,5,2020,12495,0,500,0,145.0,56.5,1.0
1633,7,2016,7995,0,24500,0,30.0,58.9,1.2
1634,7,2017,9995,0,15500,0,20.0,62.8,1.0
1635,7,2017,8995,0,35500,0,145.0,62.8,1.0
1636,5,2019,12995,0,6000,0,145.0,60.1,1.0
1637,7,2017,7995,0,34945,0,30.0,58.9,1.2
1638,12,2016,14093,0,65000,2,145.0,54.3,2.0
1639,9,2016,11094,0,34504,2,30.0,65.7,1.7
1640,7,2018,8681,0,25000,0,150.0,55.4,1.2
1641,8,2019,14062,2,357,0,145.0,34.5,1.6
1642,8,2016,8991,2,13302,0,160.0,43.5,1.6
1643,5,2018,6795,0,32331,0,145.0,57.7,1.2
1644,5,2017,7495,0,6500,0,145.0,57.7,1.2
1645,7,2018,10995,0,5000,0,145.0,58.9,1.2
1646,15,2019,36995,2,100,2,145.0,39.8,2.2
1647,5,2016,6695,0,29650,0,30.0,57.6,1.2
1648,12,2019,26995,2,1000,3,145.0,50.4,1.6
1649,7,2019,14195,0,5000,0,145.0,47.9,1.0
1650,5,2016,6495,0,20500,0,20.0,61.4,1.0
1651,10,2019,25995,0,50,0,145.0,34.0,2.0
1652,8,2015,7495,0,29000,0,125.0,50.4,1.4
1653,5,2016,6995,0,29000,0,30.0,57.6,1.2
1654,5,2017,7695,0,17500,0,30.0,57.7,1.2
1655,5,2017,7495,0,19500,0,145.0,57.6,1.2
1656,5,2014,5495,0,62500,0,30.0,57.6,1.2
1657,5,2016,6995,0,13500,0,30.0,57.6,1.2
1658,15,2014,14995,3,60500,2,260.0,41.5,2.2
1659,5,2015,6495,0,8500,0,30.0,57.6,1.2
1660,10,2017,12495,0,2924,0,145.0,56.5,1.0
1661,12,2018,22995,2,12531,2,145.0,43.5,2.0
1662,12,2016,12495,0,33500,2,30.0,61.7,1.7
1663,12,2019,23995,2,50,0,145.0,36.2,1.6
1665,10,2017,13495,0,300,0,145.0,52.3,1.4
1666,10,2014,6995,0,34500,0,160.0,46.3,1.4
1667,15,2020,36990,3,985,2,150.0,39.2,2.2
1668,5,2020,12190,0,1958,0,150.0,56.5,1.0
1669,7,2020,11990,0,1958,0,150.0,46.3,1.2
1670,11,2020,14490,0,1458,0,150.0,44.8,1.0
1671,8,2016,7240,0,38756,0,125.0,50.4,1.4
1672,7,2018,11030,0,5921,0,145.0,47.9,1.0
1673,12,2017,14498,0,18386,2,30.0,61.7,1.7
1674,12,2016,11950,0,18397,2,30.0,61.7,1.7
1675,10,2015,8991,0,22653,0,145.0,48.7,1.4
1676,7,2016,6890,0,37027,0,30.0,56.5,1.2
1677,12,2017,14710,3,14640,2,125.0,57.6,1.7
1678,8,2017,8798,0,15687,0,125.0,50.4,1.4
1679,12,2016,10798,0,29019,0,160.0,44.8,1.6
1680,11,2018,13998,0,12443,0,145.0,44.1,1.0
1681,9,2016,8270,0,39703,2,20.0,67.3,1.7
1683,5,2017,6991,0,14931,0,145.0,60.1,1.0
1684,11,2018,18500,3,10344,0,145.0,34.0,1.6
1686,15,2014,14791,3,46000,2,265.0,41.5,2.2
1688,5,2017,7495,0,32259,0,145.0,57.7,1.2
1689,7,2014,5995,0,22084,0,30.0,57.6,1.2
1690,9,2016,8770,0,61554,2,125.0,60.1,1.7
1691,6,2015,8420,0,46573,2,145.0,53.3,1.7
1692,8,2017,9998,0,7673,0,125.0,50.4,1.4
1693,5,2018,8500,0,9031,0,150.0,57.7,1.2
1694,8,2016,8000,0,39289,0,125.0,50.4,1.4
1695,7,2016,7250,0,32182,0,30.0,58.9,1.2
1696,12,2016,12750,0,30771,2,30.0,61.7,1.7
1697,5,2018,8750,0,18382,0,145.0,57.7,1.2
1698,12,2017,11350,0,41846,0,145.0,44.8,1.6
1699,12,2018,16000,3,9292,2,145.0,57.6,1.7
1700,15,2019,31500,3,7919,2,145.0,39.2,2.2
1702,5,2018,9000,0,9990,0,150.0,57.6,1.2
1703,8,2016,7798,0,36242,0,125.0,50.4,1.4
1704,15,2017,17998,3,21615,2,235.0,42.8,2.2
1705,13,2019,19798,2,8491,2,145.0,31.7,2.5
1706,6,2015,8498,0,48823,0,165.0,44.1,1.6
1707,14,2018,14998,2,8513,3,140.0,78.5,1.6
1708,5,2017,7498,0,2375,0,150.0,60.1,1.0
1709,5,2013,3790,0,64500,0,20.0,61.4,1.2
1710,7,2019,10500,0,14568,0,150.0,46.3,1.2
1711,10,2018,11000,0,15124,0,150.0,56.5,1.0
1712,12,2018,21000,0,8523,2,145.0,45.6,1.6
1713,7,2017,8500,0,19366,0,150.0,55.4,1.2
1714,7,2018,8500,0,18575,0,150.0,58.9,1.2
1715,8,2015,6750,2,45908,0,200.0,43.6,1.6
1716,12,2016,17000,3,11257,0,235.0,37.7,1.6
1717,11,2018,17750,3,19151,0,145.0,42.2,1.6
1718,15,2018,20000,0,20318,2,145.0,47.1,2.2
1719,5,2019,8500,0,3815,0,145.0,60.1,1.0
1720,5,2016,7000,0,21619,0,30.0,57.6,1.2
1721,13,2017,15499,2,18000,2,330.0,33.6,2.5
1722,8,2017,8199,0,8564,2,145.0,64.2,1.6
1723,14,2019,19970,2,10999,3,135.0,78.5,1.6
1724,7,2018,9770,0,7182,0,145.0,46.3,1.2
1725,15,2019,32000,3,2000,2,145.0,39.8,2.2
1726,5,2015,6750,0,13425,0,30.0,57.6,1.2
1727,7,2017,8000,0,24286,0,150.0,58.9,1.2
1728,5,2015,7500,3,26227,0,150.0,47.9,1.2
1729,7,2017,9750,0,16700,0,150.0,58.9,1.0
1730,12,2016,15250,2,13396,2,240.0,43.5,2.0
1731,15,2019,28500,3,17835,2,145.0,39.8,2.2
1732,5,2017,7500,0,28076,0,145.0,57.7,1.2
1733,12,2016,11499,0,27542,2,30.0,61.7,1.7
1734,7,2016,7551,0,30165,0,30.0,55.4,1.2
1735,12,2016,12495,0,25897,2,30.0,61.7,1.7
1737,9,2016,11695,0,34504,2,30.0,65.7,1.7
1738,12,2016,13292,0,69332,2,145.0,54.3,2.0
1741,6,2014,7530,0,57675,2,145.0,53.3,1.7
1742,9,2014,7700,2,66031,2,200.0,47.1,1.7
1743,7,2018,9870,0,6669,0,145.0,46.3,1.2
1744,12,2019,19970,3,11994,0,145.0,36.2,1.6
1745,12,2017,13970,0,12287,0,160.0,44.8,1.6
1746,5,2019,9970,0,16709,0,145.0,57.6,1.2
1747,12,2018,14770,0,16314,0,145.0,44.8,1.6
1748,12,2017,15270,2,31470,2,200.0,46.3,2.0
1749,7,2018,11000,0,4256,0,145.0,55.4,1.2
1750,5,2018,7900,0,10164,0,145.0,60.1,1.0
1751,5,2017,9500,3,17120,0,145.0,47.9,1.2
